OTU	F.OITS2.41	A.OITS2.35	C.OITS2.24	C.OITS2.29	C.OITS2.26	C.OITS2.28	C.OITS2.30	C.OITS2.27	A.OITS2.37	D.OITS2.46	A.OITS2.36	A.OITS2.41	D.OITS2.47	C.OITS2.49	D.OITS2.42	D.OITS2.37	E.OITS2.24	B.OITS2.35	B.OITS2.24	F.OITS2.35	C.OITS2.5	F.OITS2.47	F.OITS2.44	C.OITS2.47	D.OITS2.45	C.OITS2.50	B.OITS2.37	C.OITS2.25	D.OITS2.29	E.OITS2.31	E.OITS2.30	C.OITS2.44	C.OITS2.31	C.OITS2.34	C.OITS2.32	C.OITS2.33	D.OITS2.31	C.OITS2.35	C.OITS2.23	D.OITS2.33	D.OITS2.25	D.OITS2.30	D.OITS2.28	D.OITS2.27	D.OITS2.23	D.OITS2.22	D.OITS2.24	D.OITS2.21	D.OITS2.26	D.OITS2.32	E.OITS2.45	E.OITS2.47	E.OITS2.46	E.OITS2.37	B.OITS2.8	C.OITS2.7	C.OITS2.8	B.OITS2.43	A.OITS2.42	E.OITS2.32	E.OITS2.35	E.OITS2.23	D.OITS2.38	D.OITS2.48	B.OITS2.22	B.OITS2.31	B.OITS2.42	D.OITS2.7	E.OITS2.25	D.OITS2.49	D.OITS2.43	D.OITS2.39	D.OITS2.44	D.OITS2.41	E.OITS2.27	D.OITS2.40	F.OITS2.45	E.OITS2.41	E.OITS2.26	E.OITS2.28	F.OITS2.37	F.OITS2.46	F.OITS2.29	D.OITS2.4	F.OITS2.42	F.OITS2.39	B.OITS2.46	A.OITS2.39	E.OITS2.33	D.OITS2.3	D.OITS2.6	E.OITS2.39	A.OITS2.40	A.OITS2.43	D.OITS2.50	E.OITS2.21	E.OITS2.29	F.OITS2.40	B.OITS2.32	F.OITS2.32	E.OITS2.44	E.OITS2.22	E.OITS2.42	B.OITS2.38	B.OITS2.41	B.OITS2.30	C.OITS2.48	F.OITS2.26	D.OITS2.5	E.OITS2.34	B.OITS2.47	F.OITS2.27	E.OITS2.43	F.OITS2.38	B.OITS2.27	B.OITS2.21	B.OITS2.45	B.OITS2.33	B.OITS2.50	B.OITS2.40	F.OITS2.30	B.OITS2.44	B.OITS2.26	B.OITS2.28	B.OITS2.23	F.OITS2.22	B.OITS2.34	B.OITS2.29	B.OITS2.39	E.OITS2.38	F.OITS2.21	F.OITS2.33	F.OITS2.43	E.OITS2.48	B.OITS2.25	F.OITS2.36	F.OITS2.34	F.OITS2.31	E.OITS2.40	taxonomy
denovo10170	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Peronosporales; f__Peronosporaceae; g__Hyaloperonospora; s__Hyaloperonospora praecox"
denovo156453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Peronosporales; f__Peronosporaceae; g__Hyaloperonospora; s__Hyaloperonospora praecox"
denovo156759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Peronosporales; f__Peronosporaceae; g__Hyaloperonospora; s__Hyaloperonospora praecox"
denovo11186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Peronosporales; f__Peronosporaceae; g__Peronospora; s__Peronospora effusa"
denovo55919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Peronosporales; f__Peronosporaceae; g__Hyaloperonospora; s__Hyaloperonospora praecox"
denovo26395	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Peronosporales; f__Peronosporaceae; g__Hyaloperonospora; s__Hyaloperonospora praecox"
denovo50678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Peronosporales; f__Peronosporaceae; g__Hyaloperonospora; s__Hyaloperonospora praecox"
denovo110008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Pythiales; f__Pythiaceae; g__Pythium; s__Pythium sylvaticum"
denovo50764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Peronosporales; f__Peronosporaceae; g__Hyaloperonospora"
denovo152102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Peronosporales; f__Peronosporaceae; g__Hyaloperonospora; s__Hyaloperonospora praecox"
denovo133611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Peronosporales; f__Peronosporaceae; g__Hyaloperonospora; s__Hyaloperonospora praecox"
denovo79395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Peronosporales; f__Peronosporaceae; g__Hyaloperonospora; s__Hyaloperonospora praecox"
denovo47739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Peronosporales; f__Peronosporaceae; g__Hyaloperonospora; s__Hyaloperonospora praecox"
denovo14060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	20	0	0	0	12	0	0	0	0	0	0	0	0	3	0	0	0	9	0	0	0	0	0	0	2	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	27	0	0	1	9	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Pythiales; f__Pythiaceae; g__Pythium; s__Pythium sp. SB10-1"
denovo96907	0	0	0	0	0	0	0	0	0	1	0	0	1	0	5	3	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	3	0	0	4	2	0	0	0	2	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	2	0	2	2	5	2	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Peronosporales; f__Peronosporaceae; g__Hyaloperonospora; s__Hyaloperonospora praecox"
denovo115213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	2	0	2	0	4	4	4	0	0	0	0	0	1	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Peronosporales; f__Peronosporaceae; g__Hyaloperonospora; s__Hyaloperonospora praecox"
denovo69538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Peronosporales; f__Peronosporaceae; g__Hyaloperonospora; s__Hyaloperonospora praecox"
denovo106002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Pythiales; f__Pythiaceae; g__Pythium"
denovo3206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes"
denovo111966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Peronosporales; f__Peronosporaceae; g__Hyaloperonospora; s__Hyaloperonospora praecox"
denovo93178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Peronosporales; f__Peronosporaceae; g__Hyaloperonospora; s__Hyaloperonospora praecox"
denovo87009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Peronosporales; f__Peronosporaceae; g__Hyaloperonospora"
denovo112149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"k__Chromalveolata; p__Stramenopiles; c__Oomycetes; o__Peronosporales; f__Peronosporaceae; g__Hyaloperonospora; s__Hyaloperonospora praecox"
